Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,License URL,Previous Indicator Name
SH.DTH.NCOM.FE.ZS,,"Cause of death, by non-communicable diseases, female (% of female population)",,"Number of female deaths due to non-communicable diseases divided by number of all female deaths, expressed by percentage. Non-Communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.","Derived based on the data from Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020. Link: https://www.who.int/data/gho/data/themes/mortality-and-global-health-estimates/ghe-leading-causes-of-death",Health,,Annual,Weighted average,"Data on cause of death are compiled by the WHO, based mainly on data from national vital registry systems, as well as sample registration systems, population laboratories, and epidemiological analysis of specific conditions. Data are classified based on the International Statistical Classification of Diseases and Related Health Problems, 10th revision. Data have been carefully analyzed to take into account incomplete coverage of vital registration and the likely differences in cause of death patterns that would be expected in undercovered and often poorer subpopulations. Special attention has also been paid to misattribution or miscoding of causes of death in cardiovascular diseases, cancer, injuries, and general ill-defined categories. For further information, consult the original source.","Measuring the number of deaths and their causes helps to improve health services and reduce preventable deaths.  Specifically, these data are used to monitor progress towards the health-related targets within the Sustainable Development Goals (SDGs). For example, SDG Target 3.4 calls for reducing premature mortality from non-communicable diseases. Disease burden from non-communicable diseases is becoming a serious problem in many low-and middle-income countries .                                                                                                                                                                                       Assessing the cause of deaths data, disaggregated by age, sex and geographic location, is essential to identify inequities in health.","The limited availability of data on health status is a major constraint in assessing the health situation in low-and middle-income countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.",,,,
SH.DTH.NCOM.MA.ZS,,"Cause of death, by non-communicable diseases, male (% of male population)",,"Number of male deaths ages due to non-communicable diseases divided by number of all male deaths ages, expressed by percentage. Non-Communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.","Derived based on the data from Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020. Link: https://www.who.int/data/gho/data/themes/mortality-and-global-health-estimates/ghe-leading-causes-of-death",Health,,Annual,Weighted average,"Data on cause of death are compiled by the WHO, based mainly on data from national vital registry systems, as well as sample registration systems, population laboratories, and epidemiological analysis of specific conditions. Data are classified based on the International Statistical Classification of Diseases and Related Health Problems, 10th revision. Data have been carefully analyzed to take into account incomplete coverage of vital registration and the likely differences in cause of death patterns that would be expected in undercovered and often poorer subpopulations. Special attention has also been paid to misattribution or miscoding of causes of death in cardiovascular diseases, cancer, injuries, and general ill-defined categories. For further information, consult the original source.","Measuring the number of deaths and their causes helps to improve health services and reduce preventable deaths.  Specifically, these data are used to monitor progress towards the health-related targets within the Sustainable Development Goals (SDGs). For example, SDG Target 3.4 calls for reducing premature mortality from non-communicable diseases. Disease burden from non-communicable diseases is becoming a serious problem in many low-and middle-income countries .                                                                                                                                                                                       Assessing the cause of deaths data, disaggregated by age, sex and geographic location, is essential to identify inequities in health.","The limited availability of data on health status is a major constraint in assessing the health situation in low-and middle-income countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.",,,,
SL.TLF.0714.FE.ZS,CC BY-4.0,"Children in employment, female (% of female children ages 7-14)",,Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",Employment and Time Use,,Annual,,"Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of "economic activity," the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called "household chores") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.","In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SL.TLF.0714.MA.ZS,CC BY-4.0,"Children in employment, male (% of male children ages 7-14)",,Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",Employment and Time Use,,Annual,,"Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of "economic activity," the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called "household chores") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.","In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SL.TLF.0714.ZS,CC BY-4.0,"Children in employment, total (% of children ages 7-14)",,Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",Employment and Time Use,,Annual,,"Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of "economic activity," the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called "household chores") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.","In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SE.PRM.UNER.ZS,CC BY-4.0,Children out of school (% of primary school age),,Children out of school are the percentage of primary-school-age children who are not enrolled in primary or secondary school. Children in the official primary age group that are in preprimary education should be considered out of school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,,Annual,Weighted average,"The rate of out-of-school children allows to compare across countries with different population sizes. It shows the share of official primary-school-age children who never attended school or dropped out to the population of official primary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by,
SE.PRM.UNER,CC BY-4.0,"Children out of school, primary",,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by,
SE.PRM.UNER.FE,CC BY-4.0,"Children out of school, primary, female",,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by,
SE.PRM.UNER.MA,CC BY-4.0,"Children out of school, primary, male",,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.HIV.1524.KW.FE.ZS,CC BY-4.0,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",,"The percent of female respondents ages 15-24 who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.",Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,,,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.HIV.1524.KW.MA.ZS,CC BY-4.0,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",,"The percent of male respondents ages 15-24 who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.",Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,,,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.HIV.KNOW.FE.ZS,CC BY-4.0,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions)",,"Knowledge of HIV, female, is the percentage of female respondents who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.",Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,,,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.HIV.KNOW.MA.ZS,CC BY-4.0,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions)",,"Knowledge of HIV, male, is the percentage of male respondents who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.",Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,,,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.CON.AIDS.FE.ZS,CC BY-4.0,"Condom use at last high-risk sex, adult female (% ages 15-49)",,"Condom use at last high-risk sex, female is the percentage of the female population ages 15-49 who used a condom at last intercourse with a non-marital and non-cohabiting sexual partner in the last 12 months.","Demographic and Health Surveys, and UNAIDS.",,,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.CON.AIDS.MA.ZS,CC BY-4.0,"Condom use at last high-risk sex, adult male (% ages 15-49)",,"Condom use at last high-risk sex, male is the percentage of the male population ages 15-49 who used a condom at last intercourse with a non-marital and non-cohabiting sexual partner in the last 12 months.","Demographic and Health Surveys, and UNAIDS.",,,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SP.DYN.CONU.ZS,CC BY-4.0,"Contraceptive prevalence, any method (% of married women ages 15-49)",,"Contraceptive prevalence, any method is the percentage of married women ages 15-49 who are practicing, or whose sexual partners are practicing, any method of contraception (modern or traditional). Modern methods of contraception include female and male sterilization, oral hormonal pills, the intra-uterine device (IUD), the male condom, injectables, the implant (including Norplant), vaginal barrier methods, the female condom and emergency contraception. Traditional methods of contraception include rhythm (e.g., fertility awareness based methods, periodic abstinence), withdrawal and other traditional methods.","Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division.",Health,,Annual,Weighted average,"Contraceptive prevalence rates are obtained mainly from nationally representative household surveys, including: Demographic and Health Surveys; Multiple Indicator Cluster Surveys; Contraceptive Prevalence Surveys; Gender and Generations Survey; Reproductive Health Surveys; and World Fertility Surveys.  Additional information was provided by other international survey programs and national surveys.  

Married women refer to women who are married (defined in relation to the marriage laws or customs of a country) and to women in a union, which refers to women living with their partner in the same household (also referred to as cohabiting unions, consensual unions, unmarried unions, or “living together”).","Contraceptive prevalence among women of reproductive age is related to maternal and child health, as well as gender equality and HIV/AIDS.   Contraceptives enable women and men to make informed decisions on family planning – whether, when, and how many children they would have. 

Preventing unwanted pregnancies is essential to reducing maternal deaths, especially in low- and middle- income countries where maternal mortality rate is high.  With effective contraception, life-threatening pregnancy complications can be reduced, and thus maternal deaths can be averted.  

Using condoms (one of the modern contraceptive methods) can prevent pregnancy as well as sexually transmitted diseases, including HIV.","While the data availability on contraceptive use has increased, in many countries the contraceptive use data are available only for married women. 

The time frame used to assess contraceptive prevalence may vary. In many surveys, it is left to the respondent to determine what is meant by “currently using” a method of contraception.",,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SP.DYN.CONM.ZS,CC BY-4.0,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",,"Contraceptive prevalence, any modern method is the percentage of married women ages 15-49 who are practicing, or whose sexual partners are practicing, at least one modern method of contraception.  Modern methods of contraception include female and male sterilization, oral hormonal pills, the intra-uterine device (IUD), the male condom, injectables, the implant (including Norplant), vaginal barrier methods, the female condom and emergency contraception.","Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division.",Health,,Annual,Weighted average,"Contraceptive prevalence rates are obtained mainly from nationally representative household surveys, including: Demographic and Health Surveys; Multiple Indicator Cluster Surveys; Contraceptive Prevalence Surveys; Gender and Generations Survey; Reproductive Health Surveys; and World Fertility Surveys.  Additional information was provided by other international survey programs and national surveys.  

Married women refer to women who are married (defined in relation to the marriage laws or customs of a country) and to women in a union, which refers to women living with their partner in the same household (also referred to as cohabiting unions, consensual unions, unmarried unions, or “living together”).","Contraceptive prevalence among women of reproductive age is related to maternal and child health, as well as gender equality and HIV/AIDS.   Contraceptives enable women and men to make informed decisions on family planning – whether, when, and how many children they would have. 

Preventing unwanted pregnancies is essential to reducing maternal deaths, especially in low- and middle- income countries where maternal mortality rate is high.  With effective contraception, life-threatening pregnancy complications can be reduced, and thus maternal deaths can be averted.  

Using condoms (one of the modern contraceptive methods) can prevent pregnancy as well as sexually transmitted diseases, including HIV.","While the data availability on contraceptive use has increased, in many countries the contraceptive use data are available only for married women. 

The time frame used to assess contraceptive prevalence may vary. In many surveys, it is left to the respondent to determine what is meant by “currently using” a method of contraception.",,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SG.PEN.SXHR.EM,CC BY-4.0,Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),,"The indicator measures whether the law establishes criminal sanctions, such as fines or imprisonment, for sexual harassment in employment; if the provision in the criminal code provides for reparation of damages for offenses covered by the code; or if the law provides for civil remedies or compensation for victims of sexual harassment in employment or the workplace, even after dismissal of the victims.","World Bank: Women, Business and the Law. https://wbl.worldbank.org/",Violence,,Annual,,"Women, Business and the Law tracks progress toward legal equality between men and women in 190 economies. Data are collected with standardized questionnaires to ensure comparability across economies. Questionnaires are administered to over 2,000 respondents with expertise in family, labor, and criminal law, including lawyers, judges, academics, and members of civil society organizations working on gender issues. Respondents provide responses to the questionnaires and references to relevant laws and regulations. The Women, Business and the Law team collects the texts of these codified sources of national law - constitutions, codes, laws, statutes, rules, regulations, and procedures - and checks questionnaire responses for accuracy. Thirty-five data points are scored across eight indicators of four or five binary questions, with each indicator representing a different phase of a woman’s career. Indicator-level scores are obtained by calculating the unweighted average of the questions within that indicator and scaling the result to 100. Overall scores are then calculated by taking the average of each indicator, with 100 representing the highest possible score.","The knowledge and analysis provided by Women, Business and the Law make a strong economic case for laws that empower women. Better performance in the areas measured by the Women, Business and the Law index is associated with more women in the labor force and with higher income and improved development outcomes. Equality before the law and of economic opportunity are not only wise social policy but also good economic policy. The equal participation of women and men will give every economy a chance to achieve its potential. Given the economic significance of women's empowerment, the ultimate goal of Women, Business and the Law is to encourage governments to reform laws that hold women back from working and doing business.","The Women, Business and the Law methodology has limitations that should be considered when interpreting the data. All eight indicators are based on standardized assumptions to ensure comparability across economies. Comparability is one of the strengths of the data, but the assumptions can also be limitations as they may not capture all restrictions or represent all particularities in a country. It is assumed that the woman resides in the economy's main business city of the economy. In federal economies, laws affecting women can vary by state or province. Even in nonfederal economies, women in rural areas and small towns could face more restrictive local legislation. Such restrictions are not captured by Women, Business and the Law unless they are also found in the main business city. The woman has reached the legal age of majority and is capable of making decisions as an adult, is in good health and has no criminal record. She is a lawful citizen of the economy being examined, and she works as a cashier in the food retail sector in a supermarket or grocery store that has 60 employees. She is a cisgender, heterosexual woman in a monogamous first marriage registered with the appropriate authorities (de facto marriages and customary unions are not measured), she is of the same religion as her husband, and is in a marriage under the rules of the default marital property regime, or the most common regime for that jurisdiction, which will not change during the course of the marriage. She is not a member of a union, unless membership is mandatory. Membership is considered mandatory when collective bargaining agreements cover more than 50 percent of the workforce in the food retail sector and when they apply to individuals who were not party to the original collective bargaining agreement. Where personal law prescribes different rights and obligations for different groups of women, the data focus on the most populous group, which may mean that restrictions that apply only to minority populations are missed. Women, Business and the Law focuses solely on the ways in which the formal legal and regulatory environment determines whether women can work or open their own businesses. The data set is constructed using laws and regulations that are codified (de jure) and currently in force, therefore implementation of laws (de facto) is not measured. The data looks only at laws that apply to the private sector. These assumptions can limit the representativeness of the data for the entire population in each country. Finally, Women, Business and the Law recognizes that the laws it measures do not apply to all women in the same way. Women face intersectional forms of discrimination based on gender, sex, sexuality, race, gender identity, religion, family status, ethnicity, nationality, disability, and a myriad of other grounds. Women, Business and the Law therefore encourages readers to interpret the data in conjunction with other available research.","For the reference period, WDI and Gender Databases take the data coverage years instead of reporting years used in WBL (https://wbl.worldbank.org/).  For example, the data for YR2020 in WBL (report year) corresponds to data for YR2019 in WDI and Gender Databases.",This is one of the 35 scored indicators.,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.FPL.SATI.ZS,CC BY-4.0,Demand for family planning satisfied by any methods (% of married women with demand for family planning),,Demand for family planning satisfied by any methods refers to the percentage of married women ages 15-49 whose need for family planning is satisfied.,Demographic and Health Surveys.,Health,,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by,
SH.FPL.SATM.ZS,CC BY-4.0,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),,Demand for family planning satisfied by modern methods refers to the percentage of married women ages 15-49 years whose need for family planning is satisfied with modern methods.,Demographic and Health Surveys (DHS).,Health,,Annual,Weighted average,,,,This is the Sustainable Development Goal indicator 3.7.1 [https://unstats.un.org/sdgs/metadata/].,,https://datacatalog.worldbank.org/public-licenses#cc-by,
