Time,Time Code,Series Name,Series Code,United Kingdom [GBR],Afghanistan [AFG],Albania [ALB],Algeria [DZA],American Samoa [ASM],Andorra [AND],Angola [AGO],Antigua and Barbuda [ATG],Argentina [ARG],Armenia [ARM],Aruba [ABW],Australia [AUS],Austria [AUT],Azerbaijan [AZE],"Bahamas, The [BHS]",Bahrain [BHR],Bangladesh [BGD],Barbados [BRB],Belarus [BLR],Belgium [BEL],Belize [BLZ],Benin [BEN],Bermuda [BMU],Bhutan [BTN],Bolivia [BOL],Bosnia and Herzegovina [BIH],Botswana [BWA],Brazil [BRA],British Virgin Islands [VGB],Brunei Darussalam [BRN],Bulgaria [BGR],Burkina Faso [BFA],Burundi [BDI],Cabo Verde [CPV],Cambodia [KHM],Cameroon [CMR],Canada [CAN],Cayman Islands [CYM],Central African Republic [CAF],Chad [TCD],Channel Islands [CHI],Chile [CHL],China [CHN],Colombia [COL],Comoros [COM],"Congo, Dem. Rep. [COD]","Congo, Rep. [COG]",Costa Rica [CRI],Cote d'Ivoire [CIV],Croatia [HRV],Cuba [CUB],Curacao [CUW],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Djibouti [DJI],Dominica [DMA],Dominican Republic [DOM],Ecuador [ECU],"Egypt, Arab Rep. [EGY]",El Salvador [SLV],Equatorial Guinea [GNQ],Eritrea [ERI],Estonia [EST],Eswatini [SWZ],Ethiopia [ETH],Faroe Islands [FRO],Fiji [FJI],Finland [FIN],France [FRA],French Polynesia [PYF],Gabon [GAB],"Gambia, The [GMB]",Georgia [GEO],Germany [DEU],Ghana [GHA],Gibraltar [GIB],Greece [GRC],Greenland [GRL],Grenada [GRD],Guam [GUM],Guatemala [GTM],Guinea [GIN],Guinea-Bissau [GNB],Guyana [GUY],Haiti [HTI],Honduras [HND],"Hong Kong SAR, China [HKG]",Hungary [HUN],Iceland [ISL],India [IND],Indonesia [IDN],"Iran, Islamic Rep. [IRN]",Iraq [IRQ],Ireland [IRL],Isle of Man [IMN],Israel [ISR],Italy [ITA],Jamaica [JAM],Japan [JPN],Jordan [JOR],Kazakhstan [KAZ],Kenya [KEN],Kiribati [KIR],"Korea, Dem. People's Rep. [PRK]","Korea, Rep. [KOR]",Kosovo [XKX],Kuwait [KWT],Kyrgyz Republic [KGZ],Lao PDR [LAO],Latvia [LVA],Lebanon [LBN],Lesotho [LSO],Liberia [LBR],Libya [LBY],Liechtenstein [LIE],Lithuania [LTU],Luxembourg [LUX],"Macao SAR, China [MAC]",Madagascar [MDG],Malawi [MWI],Malaysia [MYS],Maldives [MDV],Mali [MLI],Malta [MLT],Marshall Islands [MHL],Mauritania [MRT],Mauritius [MUS],Mexico [MEX],"Micronesia, Fed. Sts. [FSM]",Moldova [MDA],Monaco [MCO],Mongolia [MNG],Montenegro [MNE],Morocco [MAR],Mozambique [MOZ],Myanmar [MMR],Namibia [NAM],Nauru [NRU],Nepal [NPL],Netherlands [NLD],New Caledonia [NCL],New Zealand [NZL],Nicaragua [NIC],Niger [NER],Nigeria [NGA],North Macedonia [MKD],Northern Mariana Islands [MNP],Norway [NOR],Oman [OMN],Pakistan [PAK],Palau [PLW],Panama [PAN],Papua New Guinea [PNG],Paraguay [PRY],Peru [PER],Philippines [PHL],Poland [POL],Portugal [PRT],Puerto Rico [PRI],Qatar [QAT],Romania [ROU],Russian Federation [RUS],Rwanda [RWA],Samoa [WSM],San Marino [SMR],Sao Tome and Principe [STP],Saudi Arabia [SAU],Senegal [SEN],Serbia [SRB],Seychelles [SYC],Sierra Leone [SLE],Singapore [SGP],Sint Maarten (Dutch part) [SXM],Slovak Republic [SVK],Slovenia [SVN],Solomon Islands [SLB],Somalia [SOM],South Africa [ZAF],South Sudan [SSD],Spain [ESP],Sri Lanka [LKA],St. Kitts and Nevis [KNA],St. Lucia [LCA],St. Martin (French part) [MAF],St. Vincent and the Grenadines [VCT],Sudan [SDN],Suriname [SUR],Sweden [SWE],Switzerland [CHE],Syrian Arab Republic [SYR],Tajikistan [TJK],Tanzania [TZA],Thailand [THA],Timor-Leste [TLS],Togo [TGO],Tonga [TON],Trinidad and Tobago [TTO],Tunisia [TUN],Turkey [TUR],Turkmenistan [TKM],Turks and Caicos Islands [TCA],Tuvalu [TUV],Uganda [UGA],Ukraine [UKR],United Arab Emirates [ARE],United States [USA],Uruguay [URY],Uzbekistan [UZB],Vanuatu [VUT],"Venezuela, RB [VEN]",Vietnam [VNM],Virgin Islands (U.S.) [VIR],West Bank and Gaza [PSE],"Yemen, Rep. [YEM]",Zambia [ZMB]
2020,YR2020,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,YR2020,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,YR2020,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,56.1679992675781,13.4589996337891,43.2299995422363,12.1319999694824,..,..,67.1589965820313,..,40.8699989318848,32.6110000610352,..,56.3499984741211,52.7140007019043,54.7400016784668,54.8250007629395,39.8720016479492,31.7810001373291,50.5099983215332,55.576000213623,46.6920013427734,40.3300018310547,68.0210037231445,..,48.5299987792969,49.3349990844727,26.9780006408691,41.9469985961914,40.0559997558594,..,49.3969993591309,46.8400001525879,54.4939994812012,78.0849990844727,38.7210006713867,73.5260009765625,67.0279998779297,53.9290008544922,..,58.398998260498,45.8419990539551,47.6119995117188,39.4749984741211,59.1360015869141,40.6959991455078,28.2049999237061,58.1220016479492,48.6259994506836,36.0120010375977,44.0180015563965,41.3139991760254,38.6020011901855,..,52.117000579834,50.2929992675781,54.2970008850098,10.4650001525879,..,43.0610008239746,44.7529983520508,11.7799997329712,39.6860008239746,43.9339981079102,61.9879989624023,53.7490005493164,32.5929985046387,68.1569976806641,..,35.6990013122559,51.1129989624023,46.5960006713867,40.0120010375977,27.3729991912842,41.1730003356934,42.4560012817383,54.9199981689453,61.5330009460449,..,34.8289985656738,..,..,50.0499992370605,34.6479988098145,57.7089996337891,58.8170013427734,32.068000793457,49.0970001220703,36.6069984436035,51.5909996032715,46.3699989318848,64.4540023803711,17.5779991149902,51.1669998168945,11.1009998321533,7.51300001144409,51.9770011901855,..,55.7980003356934,35.7809982299805,48.3479995727539,51.8419990539551,9.79300022125244,60.2029991149902,66.6019973754883,..,75.1849975585938,50.9550018310547,..,42.1790008544922,37.0169982910156,74.2900009155273,52.0709991455078,17.1259994506836,42.0019989013672,66.5699996948242,24.9839992523193,..,52.9780006408691,53.023998260498,64.3809967041016,78.8730010986328,64.8820037841797,49.0699996948242,31.9209995269775,52.6110000610352,50.9039993286133,..,23.9669990539551,38.3359985351563,39.1319999694824,..,34.935001373291,..,48.0709991455078,37.8740005493164,18.8770008087158,74.4680023193359,42.548999786377,43.3740005493164,..,72.265998840332,57.5069999694824,47.2599983215332,62.0069999694824,43.564998626709,61.4029998779297,43.5089988708496,34.7449989318848,..,59.4749984741211,24.3740005493164,19.5809993743896,..,38.9720001220703,45.6699981689453,51.2270011901855,52.9379997253418,41.4630012512207,46.2939987182617,49.8250007629395,28.2830009460449,57.0690002441406,43.2560005187988,52.0839996337891,80.9759979248047,27.4990005493164,..,28.5319995880127,25.4440002441406,31.9869995117188,42.109001159668,..,53.7050018310547,57.2929992675781,..,48.273998260498,50.226001739502,82.2649993896484,15.5410003662109,30.375,58.7470016479492,42.617000579834,28.0300006866455,..,51.0830001831055,..,41.9930000305176,19.4109992980957,36.9799995422363,55.6049995422363,59.3779983520508,11.9940004348755,28.5330009460449,76.8649978637695,58.560001373291,57.1580009460449,53.8269996643066,35.8689994812012,44.2019996643066,19.3740005493164,26.3959999084473,35.6380004882813,..,..,60.9309997558594,43.9249992370605,42.2890014648438,50.7680015563965,47.4199981689453,41.7929992675781,58.4339981079102,31.7919998168945,67.6999969482422,35.3120002746582,9.69099998474121,4.53000020980835,59.9449996948242
2020,YR2020,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,..,13.7299995422363,..,..,..,..,..,..,41.0200004577637,38.3499984741211,..,56.3800010681152,52.7299995422363,58.5999984741211,..,..,..,..,63.5099983215332,46.7000007629395,..,..,..,..,53.7999992370605,29.8999996185303,42.0400009155273,41.3400001525879,..,50.2400016784668,46.8499984741211,..,..,..,..,..,53.9300003051758,..,..,..,..,39.4700012207031,..,40.7000007629395,..,..,..,35.9099998474121,..,41.2999992370605,..,43.0400009155273,52.2799987792969,50.2799987792969,54.2900009155273,..,..,43.4199981689453,44.8800010681152,11.7600002288818,43.4799995422363,..,..,53.7599983215332,..,..,..,..,51.1199989318848,46.5999984741211,..,..,..,33.8800010681152,54.9099998474121,..,..,34.9000015258789,..,..,..,..,..,..,..,..,41.25,51.5900001525879,46.3199996948242,71.0299987792969,25.0400009155273,51.1699981689453,11.6999998092651,..,51.9799995422363,..,55.810001373291,35.7799987792969,51.2599983215332,51.8300018310547,10.9499998092651,60.2999992370605,..,..,..,51.060001373291,12.0200004577637,..,42.0999984741211,..,52.0699996948242,..,..,..,..,..,52.9300003051758,53.0400009155273,..,..,40.6300010681152,52.75,..,..,50.6100006103516,..,..,52.3499984741211,39.2599983215332,..,34.9599990844727,..,48.3400001525879,37.8699989318848,..,..,..,..,..,..,57.5099983215332,..,61.9199981689453,..,..,..,36.6199989318848,..,59.439998626709,34.9799995422363,..,..,40.060001373291,..,51.5699996948242,52.9000015258789,41.3800010681152,46.3199996948242,49.8300018310547,..,56.6100006103516,43.2099990844727,52.0699996948242,38.25,..,..,..,22.7900009155273,..,42.1300010681152,62,..,57.7299995422363,..,48.25,50.1800003051758,..,..,30.3999996185303,..,42.6199989318848,..,..,..,..,..,..,..,64.5599975585938,59.3899993896484,..,..,..,58.5400009155273,..,..,..,..,..,26.2600002288818,..,..,..,..,43.7599983215332,58.2900009155273,51.5099983215332,47.2999992370605,70.2600021362305,..,..,60.4300003051758,..,9.65999984741211,..,..
2020,YR2020,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,63.9659996032715,58.6889991760254,56.8050003051758,57.3470001220703,..,..,72.5719985961914,..,59.0219993591309,49.7299995422363,..,65.4100036621094,62.5250015258789,62.890998840332,60.5169982910156,82.4359970092773,75.1900024414063,56.0839996337891,67.4570007324219,55.1349983215332,71.1809997558594,71.4449996948242,..,64.8219985961914,69.4810028076172,45.7120018005371,49.6220016479492,59.3530006408691,..,67.6669998168945,59.0429992675781,68.9749984741211,75.5630035400391,51.023998260498,85.5479965209961,77.7929992675781,62.1059989929199,..,74.7009963989258,68.0169982910156,62.306999206543,59.1809997558594,70.3509979248047,66.609001159668,50.1049995422363,64.75,52.8139991760254,61.1609992980957,62.7360000610352,53.6599998474121,66.0589981079102,..,63.8390007019043,66.6169967651367,62.8520011901855,33.2970008850098,..,70.4889984130859,68.2710037231445,63.0589981079102,66.8970031738281,52.8089981079102,76.7129974365234,65.6760025024414,40.5709991455078,81.9710006713867,..,72.2870025634766,57.9259986877441,54.060001373291,53.1759986877441,47.3889999389648,60.2019996643066,55.101001739502,63.7480010986328,68.8600006103516,..,50.9690017700195,..,..,62.1829986572266,76.3639984130859,58.1759986877441,73.4710006713867,54.3279991149902,60.048999786377,72.7929992675781,61.6059989929199,63.6380004882813,72.1890029907227,63.4469985961914,77.7570037841797,60.6160011291504,63.4449996948242,63.5950012207031,..,62.5429992675781,52.9449996948242,63.2980003356934,69.2180023193359,51.0050010681152,72.0650024414063,71.2730026245117,..,83.6559982299805,69.7789993286133,..,80.5370025634766,65.838996887207,77.1220016479492,62.3120002746582,56.3790016174316,53.5970001220703,75.5309982299805,50.2319984436035,..,62.4949989318848,60.2750015258789,71.6669998168945,85.1949996948242,75.495002746582,74.2429962158203,62.4640007019043,73.9069976806641,68.5029983520508,..,55.5110015869141,66.806999206543,68.0169982910156,..,43.0769996643066,..,61.5919990539551,50.0019989013672,58.3310012817383,75.9349975585938,71.1869964599609,47.9599990844727,..,75.5380020141602,66.7460021972656,57.685001373291,72.3280029296875,76.0410003662109,83.4179992675781,52.931999206543,52.1180000305176,..,62.5200004577637,82.2310028076172,74.5090026855469,..,62.1119995117188,46.3779983520508,78.0540008544922,68.3430023193359,65.3870010375977,63.0279998779297,58.9370002746582,42.640998840332,95.2809982299805,62.0330009460449,66.1139984130859,80.8939971923828,49.742000579834,..,61.1720008850098,77,54.568000793457,56.523998260498,..,52.5410003662109,74.4260025024414,..,62.4230003356934,59.6660003662109,86.3629989624023,38.8330001831055,41.4640007019043,63.6679992675781,53.4630012512207,65.3249969482422,..,61.9560012817383,..,57.9539985656738,57.5509986877441,59.7150001525879,62.4850006103516,69.9629974365234,64.9940032958984,46.3370018005371,85.1159973144531,74.6119995117188,69.5120010375977,56.3520011901855,53.6240005493164,64.5179977416992,58.1520004272461,60.0750007629395,52.3359985351563,..,..,69.2750015258789,57.4500007629395,85.1620025634766,61.3779983520508,62.5909996032715,65.6989974975586,75.9349975585938,63.6139984130859,78.427001953125,52.4029998779297,50.6180000305176,59.1959991455078,68.1559982299805
2020,YR2020,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,..,59.8600006103516,..,..,..,..,..,..,59.2400016784668,53.439998626709,..,65.4499969482422,62.5400009155273,65.6999969482422,..,..,..,..,71.8600006103516,55.1399993896484,..,..,..,..,75.3000030517578,50.8699989318848,49.7400016784668,62.0099983215332,..,69.1999969482422,59.060001373291,..,..,..,..,..,62.1100006103516,..,..,..,..,59.1699981689453,..,66.620002746582,..,..,..,61.0099983215332,..,53.6399993896484,..,48.9099998474121,64.0299987792969,66.5999984741211,62.8499984741211,..,..,71.0400009155273,68.4700012207031,63.4099998474121,73.4100036621094,..,..,65.6800003051758,..,..,..,..,57.939998626709,54.0699996948242,..,..,..,49.4799995422363,63.7400016784668,..,..,51.060001373291,..,..,..,..,..,..,..,..,66.7799987792969,61.5999984741211,63.5800018310547,78.0500030517578,72.1699981689453,77.9000015258789,62.2900009155273,..,63.5999984741211,..,62.560001373291,52.9500007629395,65.3199996948242,69.2799987792969,50.5400009155273,72.0999984741211,..,..,..,69.9199981689453,36.7999992370605,..,70.2799987792969,..,62.310001373291,..,..,..,..,..,62.439998626709,60.2900009155273,..,..,56.3300018310547,77.0599975585938,..,..,68.1100006103516,..,..,78.5400009155273,68.2699966430664,..,43.1199989318848,..,61.9300003051758,50,..,..,..,..,..,..,66.75,..,72.2300033569336,..,..,..,54.3400001525879,..,62.4799995422363,85.4700012207031,..,..,63.9700012207031,..,78.5400009155273,67.9199981689453,65.25,63.0699996948242,58.9500007629395,..,94.120002746582,61.9599990844727,66.0899963378906,54.1699981689453,..,..,..,76.6900024414063,..,56.560001373291,64.25,..,71.6800003051758,..,62.4000015258789,59.6199989318848,..,..,41.5,..,53.4700012207031,..,..,..,..,..,..,..,69.7699966430664,69.9700012207031,..,..,..,74.5899963378906,..,..,..,..,..,59.7700004577637,..,..,..,..,57.1800003051758,85.5299987792969,62.3899993896484,62.4900016784668,36.8600006103516,..,..,73.7200012207031,..,50.4900016784668,..,..
2020,YR2020,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,59.9910011291504,36.7109985351563,50.0890007019043,34.8699989318848,..,..,69.802001953125,..,49.5999984741211,40.3919982910156,..,60.8289985656738,57.5130004882813,58.7280006408691,57.5559997558594,68.6839981079102,53.6440010070801,53.1800003051758,60.9939994812012,50.8419990539551,55.5460014343262,69.7119979858398,..,57.3160018920898,59.3660011291504,36.076000213623,45.5830001831055,49.4379997253418,..,58.8969993591309,52.7060012817383,61.6230010986328,76.8489990234375,44.8769989013672,79.2750015258789,72.3789978027344,57.9640007019043,..,66.3889999389648,56.8549995422363,54.8470001220703,49.117000579834,64.8369979858398,53.2700004577637,39.1879997253418,61.4020004272461,50.7039985656738,48.4970016479492,53.4790000915527,47.1980018615723,52.1440010070801,..,57.9410018920898,58.2649993896484,58.5219993591309,22.5139999389648,..,56.6510009765625,56.4189987182617,37.4370002746582,51.9990005493164,49.1259994506836,69.2710037231445,59.3030014038086,36.4589996337891,75.0120010375977,..,54.148998260498,54.4490013122559,50.1619987487793,46.6570014953613,37.6129989624023,50.4799995422363,48.3440017700195,59.2529983520508,65.2310028076172,..,42.6870002746582,..,..,56.1349983215332,54.8230018615723,57.9280014038086,65.8349990844727,43.181999206543,54.4210014343262,54.5089988708496,56.0880012512207,54.4819984436035,68.3209991455078,41.3320007324219,64.4769973754883,35.9669990539551,35.5559997558594,57.6940002441406,..,59.1139984130859,44.0660018920898,55.7070007324219,60.2639999389648,30.5970001220703,65.8160018920898,68.9010009765625,..,79.2809982299805,60.3419990539551,..,66.4550018310547,51.0320014953613,75.7020034790039,56.6749992370605,36.6689987182617,47.6829986572266,71.0299987792969,37.6479988098145,..,57.2939987182617,56.6839981079102,67.8420028686523,82.0019989013672,70.0289993286133,61.9980010986328,52.1800003051758,63.1389999389648,59.6839981079102,..,39.6860008239746,52.2900009155273,53.0400009155273,..,38.7799987792969,..,54.6500015258789,43.7999992370605,38.2130012512207,75.1630020141602,56.1389999389648,45.5559997558594,..,73.7020034790039,62.0839996337891,52.476001739502,67.0260009765625,59.2939987182617,72.338996887207,48.2519989013672,43.3790016174316,..,61.0089988708496,65.0189971923828,47.7290000915527,..,50.4700012207031,46.0289993286133,64.8259963989258,60.564998626709,53.3699989318848,54.318000793457,54.0800018310547,34.976001739502,87.2220001220703,52.2900009155273,58.4300003051758,80.9369964599609,38.992000579834,..,44.7490005493164,56.4560012817383,42.6940002441406,49.0979995727539,..,53.125,66.2799987792969,..,55.0999984741211,54.898998260498,84.3290023803711,27.0590000152588,35.7789993286133,61.1910018920898,47.9029998779297,45.609001159668,..,56.4039993286133,..,50.0950012207031,38.2820014953613,48.2770004272461,59.0320014953613,64.5989990234375,38.3019981384277,37.398998260498,80.9499969482422,66.2829971313477,63.375,55.0769996643066,44.5820007324219,54.1609992980957,38.3629989624023,42.8370018005371,43.7509994506836,..,..,64.9609985351563,50.0589981079102,73.2730026245117,55.9790000915527,54.6419982910156,53.576000213623,67.1949996948242,47.2190017700195,72.9649963378906,43.2939987182617,30.3409996032715,31.8530006408691,63.9500007629395
2020,YR2020,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,36.7099990844727,..,..,..,..,..,..,49.5999984741211,45.2000007629395,..,60.8300018310547,57.5099983215332,62.0999984741211,..,..,..,..,67.4599990844727,50.8400001525879,..,..,..,..,64.1800003051758,40.0900001525879,45.5800018310547,51.3199996948242,..,60.3800010681152,52.7000007629395,..,..,..,..,..,57.9700012207031,..,..,..,..,49.1199989318848,..,53.2700004577637,..,..,..,48.5,..,47.2000007629395,..,45.6199989318848,57.939998626709,58.2700004577637,58.5200004577637,..,..,56.6500015258789,56.4199981689453,38.2400016784668,57.1599998474121,..,..,59.2999992370605,..,..,..,..,54.4500007629395,50.1699981689453,..,..,..,41.1399993896484,59.25,..,..,42.689998626709,..,..,..,..,..,..,..,..,52.9599990844727,56.0900001525879,54.4799995422363,74.6500015258789,48.7200012207031,64.5299987792969,36.9799995422363,..,57.689998626709,..,59.1199989318848,44.0699996948242,58.1599998474121,60.25,32.2700004577637,65.9000015258789,..,..,..,60.3400001525879,24.3099994659424,..,55.8600006103516,..,56.6800003051758,..,..,..,..,..,57.2999992370605,56.689998626709,..,..,47.9799995422363,65.3300018310547,..,..,59.6800003051758,..,..,65.3499984741211,53.0299987792969,..,38.7799987792969,..,54.6500015258789,43.810001373291,..,..,..,..,..,..,62.0800018310547,..,67,..,..,..,45.439998626709,..,61.0099983215332,68.1100006103516,..,..,51.2999992370605,..,64.8199996948242,60.3899993896484,53.3699989318848,54.3199996948242,54.0699996948242,..,86.3099975585938,52.2900009155273,58.4300003051758,45.75,..,..,..,54.9599990844727,..,49.0900001525879,63.0800018310547,..,64.5,..,55.0999984741211,54.9000015258789,..,..,35.7799987792969,..,47.9000015258789,..,..,..,..,..,..,..,67.2099990844727,64.5999984741211,..,..,..,66.2799987792969,..,..,..,..,..,42.8400001525879,..,..,..,..,49.8699989318848,76.9000015258789,56.7700004577637,54.560001373291,53.2400016784668,..,..,66.9400024414063,..,30.3400001525879,..,..
2020,YR2020,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,48.015998840332,12.6400003433228,18.8719997406006,3.29699993133545,..,..,45.4189987182617,..,17.863000869751,19.5130004882813,..,57.7299995422363,47.6759986877441,31.5440006256104,25.2770004272461,20.2430000305176,19.3199996948242,28.7719993591309,40.6790008544922,22.44700050354,20.7229995727539,44.0279998779297,..,21.8939990997314,30.2959995269775,15.5900001525879,17.1119995117188,28.2700004577637,..,23.2910003662109,15.7220001220703,39.8540000915527,55.6660003662109,13.7609996795654,62.359001159668,47.076000213623,49.5849990844727,..,45.476001739502,32.2099990844727,38.8429985046387,16.2049999237061,38.007999420166,25.261999130249,8.67000007629395,34.6059989929199,23.0520000457764,18.5659999847412,25.0620002746582,18.9589996337891,23.8409996032715,..,32.4309997558594,19.4580001831055,53.9490013122559,1.76999998092651,..,22.1079998016357,25.94700050354,3.4300000667572,22.3899993896484,20.1520004272461,49.3089981079102,33.4869995117188,10.2880001068115,58.935001373291,..,19.4659996032715,41.4039993286133,26.4150009155273,17.7339992523193,8.17199993133545,26.4769992828369,15.9379997253418,46.9210014343262,36.9490013122559,..,11.6840000152588,..,..,34.1790008544922,24.8759994506836,42.1459999084473,43.2169990539551,21.7129993438721,15.9119997024536,23.5849990844727,32.0320014953613,23.1009998321533,68.2669982910156,6.3270001411438,33.3390007019043,4.69500017166138,1.70799994468689,36.443000793457,..,39.6180000305176,12.8050003051758,18.8490009307861,47.0499992370605,4.27199983596802,34.1139984130859,35.3330001831055,..,70.9889984130859,26.8139991760254,..,9.44499969482422,16.4160003662109,58.4980010986328,26.5319995880127,12.2379999160767,18.5179996490479,47.5849990844727,2.74900007247925,..,28.1299991607666,24.3990001678467,41.7389984130859,64.8170013427734,51.3320007324219,29.8509998321533,28.8129997253418,41.8810005187988,47.9300003051758,..,9.84899997711182,21.5699996948242,26.3090000152588,..,13.5329999923706,..,19.8400001525879,14.6940002441406,9.68000030517578,57.189998626709,35.4020004272461,15.2299995422363,..,64.1360015869141,63.5699996948242,21.6420001983643,54.0320014953613,22.617000579834,51.2910003662109,23.1229991912842,13.6719999313354,..,49.826000213623,8.79599952697754,15.2360000610352,..,15.9949998855591,33.7200012207031,33.6650009155273,39.5820007324219,21.1149997711182,24.3269996643066,21.1639995574951,8.45300006866455,37.4160003662109,19.636999130249,23.4260005950928,61.101001739502,19.8700008392334,..,12.9840002059937,7.47100019454956,18.9589996337891,15.1940002441406,..,30.0030002593994,32.0750007629395,..,16.5289993286133,24.0809993743896,69.1399993896484,7.27600002288818,6.75699996948242,47.0110015869141,16.4720001220703,11.4580001831055,..,32.6300010681152,..,19.9559993743896,9.31099987030029,14.0179996490479,40.2200012207031,59.4169998168945,4.125,17.7409992218018,65.5979995727539,31.0149993896484,30.8390007019043,25.8369998931885,17.5550003051758,27.2339992523193,10.2390003204346,19.4409999847412,20.5209999084473,..,..,42.9150009155273,23.2129993438721,23.7740001678467,41.2249984741211,23.3439998626709,22.1979999542236,45.6030006408691,13.9890003204346,45.5349998474121,10.2609996795654,2.70000004768372,3.11800003051758,39.3160018920898
2020,YR2020,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,..,13.0900001525879,..,..,..,..,..,..,17.9300003051758,18.7700004577637,..,57.7700004577637,47.7700004577637,..,..,..,..,..,38.9199981689453,22.5200004577637,..,..,..,..,35.2400016784668,15.8199996948242,16.5799999237061,28.4599990844727,..,23.6599998474121,15.7399997711182,..,..,..,..,..,49.6100006103516,..,..,..,..,16.2099990844727,..,25.5699996948242,..,..,..,18.1499996185303,..,18.9899997711182,..,14.710000038147,32.0900001525879,19.4500007629395,53.9500007629395,..,..,22.25,25.3600006103516,4.1399998664856,29.6800003051758,..,..,33.5900001525879,..,..,..,..,41.3899993896484,26.4599990844727,..,..,..,16.4300003051758,46.9199981689453,..,..,11.7200002670288,..,..,..,..,..,..,..,..,31.3999996185303,32.0800018310547,23.1200008392334,68.6399993896484,10.2700004577637,33.3499984741211,5.1100001335144,..,36.5099983215332,..,39.6800003051758,12.8100004196167,23.5200004577637,47.2000007629395,4.28999996185303,..,..,..,..,26.4699993133545,6.32999992370605,..,19.8799991607666,..,26.6499996185303,..,..,..,..,..,28.2800006866455,24.3500003814697,..,..,31.6299991607666,30.3600006103516,..,..,47.9500007629395,..,..,46.3899993896484,26.1399993896484,..,13.4799995422363,..,19.5499992370605,14.9799995422363,..,..,..,..,..,..,63.560001373291,..,53.9700012207031,..,..,..,14.289999961853,..,49.8400001525879,6.71999979019165,..,..,20.9200000762939,..,33.7000007629395,39.9700012207031,21.2800006866455,24.2199993133545,21.1900005340576,..,38.7999992370605,19.7199993133545,23.4500007629395,29.25,..,..,..,6.23999977111816,..,14.8699998855591,45.8699989318848,..,28.6399993896484,..,16.5400009155273,24.0400009155273,..,..,6.84999990463257,..,16.5699996948242,..,..,..,..,..,..,..,40.0699996948242,59.4000015258789,..,..,..,31.2099990844727,..,..,..,..,..,19.2299995422363,..,..,..,..,22.75,24.1599998474121,45.3199996948242,23.5100002288818,41.75,..,..,41.25,..,2.65000009536743,..,..
